"","Glut-Arco-1","Glut-NC-2","Glut-HVC-1a","Glut-Arco-4","Glut-NR-3","Glut-NR-5","Glut-Arco-3","Glut-NC-3","Glut-NC-1","Glut-Arco-5","Glut-Arco-2","Glut-NR-2","Glut-LMAN-1","Glut-LMAN-2","Glut-RA","Glut-HVC-1","Glut-NR-1","Glut-HVC-2","Glut-NC-4","Glut-NR-4"
"Ex_DACH2_LHX2",0.000274485481998471,0.123125845214632,0.00692999670345237,0.00477278645583369,0.012232686299074,0,0,0.0146773453628935,0.0624364071056754,0.00207197070765153,0.00845231807974735,0.000407238469765606,0.00787955743129632,0.000261541338749914,0.00400942070805903,0.00523002201981106,0.252699427121237,0.0103005932310847,0.00165183086237013,0
"Ex_DACH2_LUZP2",0.00029635459173378,0.148468175766636,0.04351864118297,0.0016673748160472,0.00114156182648564,0.000514673789958444,0.000282156755292576,0.0122916669635077,0.234510446358094,0.0273542297123814,0.00417309279495661,0.000726826937608967,0.00428729011201758,0.0046450104070161,0.00503597956159873,0.0148517148894476,0.0116407575936256,0.00241665273475262,0,0
"Ex_DACH2_MGAT4C",0,0.0663629344353849,0.0726762366215579,0.00849662782808,0.0913696790125079,0,0.000961443483952109,0.00520826526960528,0.135271758718052,0.000311960472754507,0.000407332173978123,0.00108251085054703,0.00767599723659098,0.000391695200862471,0.000429593436184755,0.00875166833359935,0.0923435236746695,0.00450832174125753,0.00257784875842991,0.00052311307305702
"Ex_DACH2_NR4A3",0.0106034426557607,0.0600770603643075,0.0179408572062724,0.00699059239451607,0.0640221395861322,0,0.00365829211572562,0.00478551720655227,0.136121702876135,0.00115049303260532,0.0042874638843165,0.00376794015825728,0.0632852545266258,0.00101240500450358,0.000956990644362923,0.00944332808749917,0.0623236380346341,0,0.00379212328601671,0.00220536702721973
"Ex_DACH2_RORB",0.000430635619494099,0.00153408396100763,0,0.00719815636313531,0.00103847931001029,0,0,0.0384156893310157,0,0,0,0,0.128083032977018,0.248540324896029,0.0204793658139499,0.0172178279677095,0.000448719500567888,0.000990386428334176,0,0.0447615088056485
"Ex_DACH2_SLIT2",0.00293757959839693,0.0140568772647757,0.0078988780789922,0.00124174696160749,0.00353619640144106,0,0.001062274403195,0.54846489706399,0.0361557374841426,0.0420674413104242,0.00193433583856333,0.0084427461208883,0,0.0016484291297712,0.000708976121560374,0.000558572336812341,0.00227576867433709,0.00340971649067962,0.0223083075768492,0.00286685705182384
"Ex_DACH2_TAC1",0.00079023207374655,0,0.00371796778583829,0.00339314929690243,0.0351765090414449,0,0.0029623156677813,0.0927926851746342,0.00255162603438488,0,0.000447370817212643,0.0411739197130464,0.00975850548319973,0.0173774245189972,0.014849064052903,0.0396302405264945,0.0039223830039752,0.0226438993604854,0.00304973242811296,0.124150787494399
"Ex_DACH2_ZMAT4",0.00104974541416709,0,0,0.00343630806501063,0.00510948987575803,0,0.000461158663713935,0.104346466028986,0,0,0,0.0976515974802144,0.0272394137789401,0.0230230453365296,0.000656369560902912,0.0053399913176956,0.000285534114816435,0.000449362363349977,0.0118119229430111,0.343324432533421
"Ex_KIAA1217",0.0447223988194769,0.0013482497642537,0.00301178666049053,0.0116118351980543,0.00649123568510531,0.000879574188740301,0.0152959245255684,0,0.000961549290199298,0.000531259807108555,0.00197712184991815,0.00419186003048649,0,0.0222571951186267,0.271543979064068,0.00771491260428186,0,0.0612980429958842,0.00278163102257886,0.000514704519668612
"Ex_KIAA1217_BCL6",0.0192724057465741,0,0.00531366720959788,0.0189454403804907,0.00738146026722623,0.00213762924625081,0.00777832127054995,0.0049302776438209,0,0.0012872418455087,0.0455329869765384,0.08101038707167,0,0,0.0530142112503065,0.0300455596609462,0,0.119866641658818,0.0190337998881995,0.00563984947305012
"Ex_Pre_KCNH7",0.00302597715883186,0.00524262316389969,0.00371628858370807,0.0451160785717028,0.0281035530523327,0.00229336591798713,0.00850151884714599,0.0102072160348818,0.0157654687405731,0.00156517145743091,0.0072260304573677,0.00476746670397245,0.067010375950595,0.0201774910627763,0.0148181075006025,0.114727563976978,0.0115159323748715,0.00220297697059313,0.00184136465234983,0.000984345141881348
"Ex_Pre_SATB2",0.00311280054092653,0.0011402793093102,0.0107792766232745,0.0577901322726474,0.039543858272868,0.0136312583912877,0.0106897765483948,0.00427553730245907,0.0162019623531632,0.00211286185974125,0.0346312500225632,0.00166341921377517,0.0638078302245569,0.00546571053207234,0.0279772580233967,0.0881620307140448,0.00612792317271899,0,0.0016642864617192,0.00247992818995327
"Ex_SATB2_FOXP2",0.00655122003494205,0.00180682939069616,0.00867107193910607,0.0120030518430245,0.00192242832394346,0.519946445113567,0.0028057219249807,0,0.000678337700409463,0,0.00219124703299737,0.010397920434124,0.00994979568115745,0.00238330066374772,0.0140666706844919,0.0117188789365077,0,0.00881229834646794,0.00429584538320485,0.000369658679321054
"Ex_SATB2_OVOA",0.00396535327993155,0.0266742523153742,0.024174815904141,0.0368772361054924,0.0856988795516994,0.054727975781782,0.00137746373857047,0.00560777277239011,0.0270894608084341,0.000505321376845667,0.0240434254320847,0.00269682413616296,0.0450548943387266,0.00441889071043113,0.00731840808499852,0.03443190050374,0.023057866205146,0.00329933593598784,0.00284280816861535,0.00137823546224665
"Ex_SATB2_SOX6",0.000453473047744912,0.000901871942205116,0.0104974168175832,0.024975193523906,0.001263968217069,0.573384142719337,0.00028525065233599,0,0.00231920056429927,0,0.00249469627150343,0.00179961358669316,0.00243974190293617,0.00809206042249014,0.00104145881457362,0.04702155430155,0.00124706210212133,0.00172654700691571,0.00468845480849082,0.000920081237945892
"Ex_SATB2_ZNF385B",0,0.000649904927335427,0.00644444686260085,0.00420803822958573,0.00025832493807472,0.607350918294947,0,0,0,0.000410453636765359,0,0.000449902658440815,0.000396081804975129,0.00394688342043812,0.0239895849016543,0.0562690261078805,0,0.000643030046539361,0.000313919198309311,0
"Ex_TSHZ2_NR4A2",0.560351897727698,0,0.0026911472291191,0.00366375417934557,0.00218987864203452,0,0.0230826849946056,0,0,0,0.0141088327282835,0,0,0,0.0139798936696381,0.00435392986380329,0,0.00130308887199886,0,0
