gene,hvcra,int
SMOC1,-2.3788178944798126,-1.2155178435414657
NKAIN3,-5.469920605115201,-1.506586069820281
RIT2,-5.865764063628843,-3.120004933372595
BRINP1,1.0017564116721736,0.4045565346648714
C4H20orf194,-1.056291530361285,-0.5751925220614958
OSBPL10,1.9430763863179232,0.4268895265150412
LOC110469652,-1.0872766041084114,-0.8352143549236228
FAM13A,2.050856489146113,0.33877784556818424
STRBP,1.3604931387153243,0.34493602903679976
RAB11FIP4,-1.9923518354239156,-0.735977545906593
EPB41L4B,-1.190797767005634,-0.6648698782709763
HTR4,-4.1112763661072265,-0.24652553425480606
ZNF618,1.4043759121758677,0.8704928588217027
PDE10A,1.0762321391932754,0.999508665789653
GRIN2B,-0.7130762421083614,-0.3707741787358336
AK5,-1.5847890800549753,-0.7204755288497829
LOC110474232,-6.3024966340070065,-3.870103585134696
nbis-13,-5.231891962426741,-3.4295493038041256
SYK,2.5917949197287413,1.9569558332336896
TMEM158,-7.604477320081316,-1.1297093194872059
PRKCB,-2.8327747075426393,-0.7733550983826298
GABRG1,2.2270747955521477,0.9547070596584195
DOCK4,-1.8163830916006316,-0.10416597893067678
MTUS2,0.8085186998004379,0.12274439909418455
LOC110479881,-1.7217483218325604,-0.6229696879063457
PCDH17,-2.8097553153676746,-0.6657887605167775
HS6ST2,2.3218186746997946,1.3802596919458272
HLF,-2.318359301134482,-0.2589780783685273
MN1,-2.632336119880373,-0.7245146483408129
JPH1,-3.189384952612553,-0.7598999777764828
LOC110482258,-2.6539708174871053,-0.13503036239224564
SSBP2,1.3222165253265137,0.18763181799319473
SRPK2,-1.8319257368492605,-0.2537615482434158
KCNK1,-3.4071848497672383,-0.4668155411276801
MITF,-1.528810458105117,-0.13938070564027427
CNKSR2,-0.5237716288022511,-0.25383634468866845
PLPPR1,-2.63078028061054,-0.7869260111625924
PLXNC1,-6.293496635756054,-1.0537486648261407
RASGRF2,-1.0722305067858298,-0.4976065795074742
CHN2,-6.812324804667382,-2.617664723266008
ANKRD28,-1.4353981566355343,-0.2946572074705988
nbis-3,-5.898509342251969,-3.841352784600528
FAM163B,-4.3255665754604715,-0.45283458894645845
RPS6KA5,2.1873146530948544,1.189305777397628
LOC116184076,1.6095232370878174,0.8731475797585044
NFIB,-7.754357976581312,-4.045124722350179
BARX2,-2.9133881888663367,-1.2921026339109054
IKZF2,-8.977874429950381,-3.766140835190064
ZNF462,-4.665719073810196,-1.3715233188579057
GLI3,-7.373683251247732,-2.6119825771224616
CNTNAP5,0.8673170701140369,0.615350817210613
PTPRS,0.5580284218541829,0.386164381076207
POU3F4,1.8639628814804938,1.3832742257036077
FGF12,-0.7752045600597437,0.1980461971750067
FIGN,1.2776977522939192,0.7034387388233162
LOC110474503,-1.7655838282341092,-0.9870879115658615
HPCAL1,-1.3600595249670389,-0.07167708276747253
AQP1,-8.477993430118993,-4.616757082442809
SLC24A2,1.6447765385568685,0.8534394793572184
LOC110473696,-1.9072196066538152,-0.9873886050667829
KLHL29,1.5256986313324585,0.15699903700379164
SCML2,1.287495003656816,0.5953948155470453
LOC110483364,1.5848955065582748,-0.7411917749435831
nbis-6,-6.147799431392693,-3.8536036764404034
LOC110484356,-5.875162761631093,-1.238442007184327
SMIM32,-6.350149609598422,-1.287279400752588
EPHA4,-1.8906503493060083,-0.3052456819277329
NRXN3,-0.7818573280525221,-1.4529793970588065
CAMK2N1,-3.5573984191825425,-1.160755395259435
ADCYAP1,-3.313546841530812,-1.2794738969924129
KIRREL3,-0.61909318388413,-0.21990997993209183
CHN1,-1.003768754245608,-0.11858148010221892
ADGRA1,-5.115786475589181,-0.034220173033441936
FRMD8,0.5219884331766167,0.4411411215988901
PTPRZ1,-1.0828352285563663,-0.7288454313332331
B3GALT1,-1.1553946899019745,-0.667363416275589
LOC110474298,-0.9306112259622026,-0.2848902928750643
KCNK9,1.8023227290140968,0.7306317017138829
ADARB2,1.187985220781313,-0.12791492001820193
ZNF831,-2.1099343932419212,-0.8545317246217266
GALNT9,1.1891344921643894,1.5136732926571077
IRS2,-2.435687164885859,-0.7803469186499268
NTSR1,-3.72569346617511,-0.4060751143429133
PLCL1,-3.5364149201796744,-1.789511247982485
TBL1X,1.4480625830471998,0.5024956030295582
RGS6,0.7546686411464958,0.3329809717081462
GPM6B,-1.3016251029957147,-0.20413545605009698
LOC110468846,1.1427360528315458,1.0989523984071607
CTDSPL,-0.7640435503637818,-0.2154816095238008
ANK3,-0.6898266032075564,-0.24682404491742882
SLIT3,-5.537418570908575,-2.2677173778770343
KHDRBS2,-1.1174194073321468,-0.13725736346034445
NUP93,1.6284885629982824,0.06350899384041475
ASTN2,1.0833002253907398,0.5746253821446887
nbis-1,-4.546262706136021,-3.8370294519048875
KCNQ3,-0.8585464742734694,-0.0328351180094808
ARPP19,-7.457511168917108,-2.070206009573338
nbis-4,-5.589153130426384,-3.6023859006663406
TSPAN9,1.5726358286611402,0.9543054533354789
GRIK2,-0.7609404910690589,0.13654242281746765
TNR,-5.139445713662146,-1.6366633368984385
LOC110484121,-5.702381908053304,-0.40818615310101314
ATP2B1,-0.8245449352234382,0.05222936502903863
GALNT10,-3.075415566876929,-0.8726707553438668
LOC110478569,-5.8964808689654395,-2.5678516169492753
CHST11,-1.1034874682467477,-0.6606134794102239
ZNF608,-1.4628865908660666,-0.3170062841281111
SPOPL,1.9253688094254793,0.8197990350155897
TCF20,-1.2284965914614896,-0.09125003176852653
MAP2K1,-2.8033965105301313,-0.8265561206753793
PGBD5,-1.697243145062214,-0.5743778422633775
GPR158,-1.640886751129501,-0.06595458860995816
GRIP2,1.1262935400221978,0.255595094461231
KCNK5,-6.773348429407447,-2.93287064189806
LOC110470184,-6.1257039791430135,-2.068547421491574
SCAI,-1.0713576682250205,0.0935897962813812
